"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs1475655-<b>T</b>,"2 x 10-16",,0.2527,'-,"0.0436 unit decrease",[0.033-0.054],"PPIAP23, MIR17HG","Type 2 diabetes","type II diabetes mellitus",GCST010555,13:91310826
rs9555581-<b>C</b>,"4 x 10-10",,0.6102,'-,"0.0296 unit increase",[0.02-0.039],LINC00370,"Type 2 diabetes","type II diabetes mellitus",GCST010555,13:109291844
rs17522122-<b>G</b>,"1 x 10-13",,0.5238,'-,"0.0343 unit decrease",[0.025-0.043],AKAP6,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:32833676
rs8018512-<b>G</b>,"1 x 10-12",,0.7417,'-,"0.0369 unit increase",[0.027-0.047],CLEC14A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:38349519
rs10145154-<b>C</b>,"1 x 10-22",,0.7838,'-,"0.0546 unit decrease",[0.044-0.066],NRXN3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:79473182
rs8010382-<b>G</b>,"6 x 10-12",,0.4373,'-,"0.0322 unit increase",[0.023-0.041],PPP4R3A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:91497378
rs12890750-<b>G</b>,"3 x 10-9",,0.6392,'-,"0.0284 unit increase",[0.019-0.038],MARK3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,14:103393972
rs12912777-<b>C</b>,"2 x 10-15",,0.8791,'-,"0.0594 unit decrease",[0.045-0.074],RASGRP1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:38560185
rs484943-<b>C</b>,"8 x 10-11",,0.6824,'-,"0.0332 unit decrease",[0.023-0.043],BMF,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:40106553
rs2289739-<b>G</b>,"2 x 10-14",,0.6499,'-,"0.0498 unit decrease",[0.037-0.063],LTK,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:41509314
rs149935213-<b>?</b>,"3 x 10-10",,NR,'-,"0.2759319 unit decrease",[0.19-0.36],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST008048,8:117158059
rs149935213-<b>?</b>,"1 x 10-6",(AA),NR,'-,"0.236386 unit decrease",[0.14-0.33],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST008048,8:117158059
rs3913535-<b>C</b>,"4 x 10-9",,0.411,1.55,'-,[1.34-1.79],NOX4,"Severe diabetic retinopathy in type 2 diabetes","diabetic retinopathy, type II diabetes mellitus",GCST006424,11:89363589
rs11018670-<b>G</b>,"1 x 10-8",,0.427,1.55,'-,[1.33-1.80],FOLH1B,"Severe diabetic retinopathy in type 2 diabetes","diabetic retinopathy, type II diabetes mellitus",GCST006424,11:89623460
rs75332279-<b>C</b>,"5 x 10-12",,0.0964,'-,"0.0559 unit increase",[0.04-0.072],"ONECUT1, RPSAP55","Type 2 diabetes","type II diabetes mellitus",GCST010555,15:52807109
rs2435907-<b>G</b>,"1 x 10-9",,0.4112,'-,"0.0285 unit decrease",[0.019-0.038],TCF12,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:57041218
rs7163757-<b>C</b>,"2 x 10-18",,0.5741,'-,"0.0405 unit increase",[0.031-0.05],"NPM1P47, C2CD4B","Type 2 diabetes","type II diabetes mellitus",GCST010555,15:62099409
rs34143602-<b>G</b>,"1 x 10-13",,0.4221,'-,"0.0347 unit increase",[0.025-0.044],HERC1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:63647859
rs4776970-<b>T</b>,"6 x 10-10",,0.3618,'-,"0.0294 unit decrease",[0.02-0.039],MAP2K5,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:67788548
rs6495182-<b>C</b>,"3 x 10-14",,0.7484,'-,"0.0406 unit increase",[0.03-0.051],PTPN9,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:75522047
rs12910361-<b>G</b>,"3 x 10-44",,0.6982,'-,"0.0716 unit increase",[0.062-0.082],HMG20A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,15:77489993
rs8031576-<b>C</b>,"2 x 10-29",,0.289,'-,"0.057 unit increase",[0.047-0.067],"ARPIN-AP3S2, AP3S2","Type 2 diabetes","type II diabetes mellitus",GCST010555,15:89836982
rs2290203-<b>G</b>,"2 x 10-22",,0.7977,'-,"0.0557 unit decrease",[0.045-0.067],"PRC1, PRC1-AS1","Type 2 diabetes","type II diabetes mellitus",GCST010555,15:90968837
rs55857387-<b>C</b>,"7 x 10-19",,0.1947,'-,"0.0524 unit decrease",[0.041-0.064],FAM234A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:250389
rs12933120-<b>C</b>,"3 x 10-10",,0.8614,'-,"0.0424 unit decrease",[0.029-0.056],SLX4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:3584745
rs62034975-<b>G</b>,"7 x 10-10",,0.6999,'-,"0.031 unit decrease",[0.021-0.041],PDILT,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:20381093
rs7188071-<b>C</b>,"1 x 10-9",,0.6365,'-,"0.0292 unit decrease",[0.02-0.039],RABEP2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:28906323
rs8054556-<b>G</b>,"4 x 10-15",,0.5383,'-,"0.0364 unit decrease",[0.027-0.045],TMEM219,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:29946895
rs1421085-<b>C</b>,"6 x 10-144",,0.4142,'-,"0.1177 unit increase",[0.11-0.13],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:53767042
rs2032912-<b>G</b>,"2 x 10-19",,0.5843,'-,"0.0421 unit increase",[0.033-0.051],"NFAT5, CYB5B","Type 2 diabetes","type II diabetes mellitus",GCST010555,16:69534400
rs72802342-<b>C</b>,"6 x 10-38",,0.9206,'-,"0.1154 unit increase",[0.098-0.133],"ZFP1, CTRB2","Type 2 diabetes","type II diabetes mellitus",GCST010555,16:75200974
rs2925979-<b>C</b>,"2 x 10-19",,0.6916,'-,"0.0448 unit decrease",[0.035-0.055],CMIP,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:81501185
rs12920022-<b>T</b>,"2 x 10-9",,0.8397,'-,"0.0391 unit decrease",[0.026-0.052],SPG7,"Type 2 diabetes","type II diabetes mellitus",GCST010555,16:89497647
rs8071043-<b>C</b>,"5 x 10-28",,0.3284,'-,"0.0541 unit increase",[0.044-0.064],ZZEF1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:4085157
rs858519-<b>C</b>,"2 x 10-8",,0.5556,'-,"0.0262 unit decrease",[0.017-0.035],SHBG,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:7628647
rs7219033-<b>G</b>,"5 x 10-9",,0.6861,'-,"0.0288 unit decrease",[0.019-0.038],GLP2R,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:9884641
rs2297508-<b>G</b>,"2 x 10-12",,0.632,'-,"0.0334 unit decrease",[0.024-0.043],SREBF1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:17812003
rs12602834-<b>G</b>,"7 x 10-10",,0.3912,'-,"0.0289 unit increase",[0.02-0.038],"NF1, EVI2B","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:31310290
rs11657964-<b>G</b>,"1 x 10-36",,0.5957,'-,"0.0589 unit decrease",[0.05-0.068],HNF1B,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:37740776
rs684214-<b>C</b>,"3 x 10-16",,0.7268,'-,"0.0424 unit decrease",[0.032-0.053],"NAGLU, HSD17B1P1","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:42544897
rs9900074-<b>G</b>,"3 x 10-10",,0.9245,'-,"0.055 unit increase",[0.038-0.072],NFE2L1-DT,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:48046964
rs35895680-<b>C</b>,"1 x 10-28",,0.6858,'-,"0.0559 unit increase",[0.046-0.066],"GIP, IGF2BP1","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:48982960
rs1451506-<b>G</b>,"3 x 10-8",,0.8732,'-,"0.0417 unit decrease",[0.027-0.056],"SNRPGP17, YPEL2","Type 2 diabetes","type II diabetes mellitus",GCST010555,17:59329658
rs4325-<b>C</b>,"7 x 10-14",,0.5388,'-,"0.0346 unit increase",[0.026-0.044],ACE,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:63485839
rs11655898-<b>C</b>,"6 x 10-10",,0.0695,'-,"0.0594 unit increase",[0.041-0.078],ERN1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:64124014
rs2080090-<b>T</b>,"8 x 10-19",,0.8116,'-,"0.0525 unit decrease",[0.041-0.064],BPTF,"Type 2 diabetes","type II diabetes mellitus",GCST010555,17:67832255
rs7240767-<b>C</b>,"5 x 10-9",,0.3792,'-,"0.0368 unit increase",[0.024-0.049],LAMA1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:7070643
rs72926932-<b>C</b>,"8 x 10-20",,0.0783,'-,"0.0749 unit increase",[0.059-0.091],TCF4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:55383415
rs17684074-<b>G</b>,"4 x 10-9",,0.7389,'-,"0.0312 unit increase",[0.021-0.042],WDR7,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:57008153
rs1517037-<b>C</b>,"3 x 10-10",,0.8132,'-,"0.0375 unit increase",[0.026-0.049],"SEC11C, GRP","Type 2 diabetes","type II diabetes mellitus",GCST010555,18:59211042
rs663640-<b>C</b>,"1 x 10-19",,0.7822,'-,"0.0503 unit decrease",[0.04-0.061],RNU4-17P,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:60178844
rs12454712-<b>C</b>,"8 x 10-18",,0.3831,'-,"0.0412 unit decrease",[0.032-0.051],BCL2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,18:63178651
rs12977104-<b>G</b>,"1 x 10-12",,0.8005,'-,"0.0412 unit decrease",[0.03-0.053],UHRF1,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:4949909
rs17175860-<b>G</b>,"3 x 10-14",,0.1919,'-,"0.0445 unit increase",[0.033-0.056],INSR,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:7235135
rs2115107-<b>G</b>,"8 x 10-16",,0.6076,'-,"0.0382 unit decrease",[0.029-0.047],"MAP2K7, LRRC8E","Type 2 diabetes","type II diabetes mellitus",GCST010555,19:7903283
rs11666603-<b>C</b>,"2 x 10-9",,0.744,'-,"0.0329 unit increase",[0.022-0.044],"RPS29P23, ZNF799","Type 2 diabetes","type II diabetes mellitus",GCST010555,19:12386120
rs3111316-<b>G</b>,"3 x 10-21",,0.4116,'-,"0.0442 unit decrease",[0.035-0.053],FARSA,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:12927601
rs58542926-<b>C</b>,"5 x 10-25",,0.9245,'-,"0.089 unit decrease",[0.072-0.106],TM6SF2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:19268740
rs10406327-<b>G</b>,"9 x 10-16",,0.4754,'-,"0.037 unit decrease",[0.028-0.046],PEPD,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:33399932
rs10407429-<b>G</b>,"5 x 10-31",,0.5785,'-,"0.0539 unit increase",[0.045-0.063],"GIPR, RN7SL836P","Type 2 diabetes","type II diabetes mellitus",GCST010555,19:45653979
rs11667244-<b>G</b>,"2 x 10-12",,0.7024,'-,"0.0354 unit increase",[0.026-0.045],ZC3H4,"Type 2 diabetes","type II diabetes mellitus",GCST010555,19:47076928
rs2268078-<b>G</b>,"2 x 10-15",,0.3447,'-,"0.0387 unit decrease",[0.029-0.048],RALY,"Type 2 diabetes","type II diabetes mellitus",GCST010555,20:34008898
rs12625671-<b>C</b>,"7 x 10-19",,0.1135,'-,"0.0653 unit increase",[0.051-0.08],HNF4A,"Type 2 diabetes","type II diabetes mellitus",GCST010555,20:44366172
rs6066138-<b>G</b>,"2 x 10-18",,0.7252,'-,"0.0451 unit increase",[0.035-0.055],EYA2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,20:46966072
rs867489-<b>C</b>,"2 x 10-11",,0.5394,'-,"0.0312 unit increase",[0.022-0.04],"PELATON, CEBPB","Type 2 diabetes","type II diabetes mellitus",GCST010555,20:50217420
rs2426439-<b>C</b>,"2 x 10-14",,0.6323,'-,"0.0365 unit increase",[0.027-0.046],LINC01524,"Type 2 diabetes","type II diabetes mellitus",GCST010555,20:52383088
rs2252221-<b>G</b>,"4 x 10-8",,0.5314,'-,"0.0248 unit increase",[0.016-0.034],TSHZ2,"Type 2 diabetes","type II diabetes mellitus",GCST010555,20:53005383
rs911300-<b>G</b>,"5 x 10-14",,0.5422,'-,"0.0348 unit increase",[0.026-0.044],"PIEZO1P2, MIR296","Type 2 diabetes","type II diabetes mellitus",GCST010555,20:58812207
rs4809369-<b>G</b>,"4 x 10-13",,0.5548,'-,"0.0337 unit increase",[0.025-0.043],"C20orf181, ZBTB46","Type 2 diabetes","type II diabetes mellitus",GCST010555,20:63839432
rs5753043-<b>C</b>,"4 x 10-14",,0.8979,'-,"0.0613 unit increase",[0.045-0.077],"HORMAD2, LIF-AS1","Type 2 diabetes","type II diabetes mellitus",GCST010555,22:30192052
rs117001013-<b>C</b>,"1 x 10-8",,0.9186,'-,"0.0474 unit increase",[0.031-0.064],YWHAH,"Type 2 diabetes","type II diabetes mellitus",GCST010555,22:31952854
rs5751061-<b>G</b>,"3 x 10-8",,0.6144,'-,"0.0261 unit increase",[0.017-0.035],"EP300-AS1, L3MBTL2","Type 2 diabetes","type II diabetes mellitus",GCST010555,22:41197869
rs3747207-<b>G</b>,"9 x 10-18",,0.7791,'-,"0.0471 unit decrease",[0.036-0.058],PNPLA3,"Type 2 diabetes","type II diabetes mellitus",GCST010555,22:43928975
rs5771069-<b>G</b>,"2 x 10-12",,0.505,'-,"0.0325 unit increase",[0.023-0.042],IL17REL,"Type 2 diabetes","type II diabetes mellitus",GCST010555,22:49997051
chr1:6676040-<b>?</b>,"6 x 10-13",(conditional),NR,'-,"0.0388512 unit increase",[0.028-0.049],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:11304720-<b>?</b>,"3 x 10-7",(conditional),NR,'-,"0.0289136 unit decrease",[0.018-0.04],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:20726556-<b>?</b>,"4 x 10-7",(conditional),NR,'-,"0.0375874 unit increase",[0.023-0.052],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:26466831-<b>?</b>,"1 x 10-6",(conditional),NR,'-,"0.0337123 unit decrease",[0.02-0.047],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:26803430-<b>?</b>,"1 x 10-12",(conditional),NR,'-,"0.0440389 unit increase",[0.032-0.056],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:27284913-<b>?</b>,"1 x 10-8",(conditional),NR,'-,"0.10193 unit decrease",[0.067-0.137],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:72838529-<b>?</b>,"2 x 10-22",(conditional),NR,'-,"0.0712657 unit increase",[0.057-0.086],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr1:155262613-<b>?</b>,"2 x 10-7",(conditional),NR,'-,"0.0297382 unit increase",[0.018-0.041],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr2:144765998-<b>?</b>,"3 x 10-7",(conditional),NR,'-,"0.0825307 unit decrease",[0.051-0.114],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr2:145256545-<b>?</b>,"1 x 10-8",(conditional),NR,'-,"0.0322497 unit increase",[0.021-0.043],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr2:145704420-<b>?</b>,"7 x 10-10",(conditional),NR,'-,"0.0344434 unit increase",[0.024-0.045],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr2:146352541-<b>?</b>,"4 x 10-10",(conditional),NR,'-,"0.0322683 unit decrease",[0.022-0.042],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr2:152198598-<b>?</b>,"7 x 10-10",(conditional),NR,'-,"0.0308955 unit decrease",[0.021-0.041],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:9521286-<b>?</b>,"5 x 10-13",(conditional),NR,'-,"0.0517581 unit decrease",[0.038-0.066],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:132042800-<b>?</b>,"1 x 10-8",(conditional),NR,'-,"0.411248 unit decrease",[0.27-0.55],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:141569324-<b>?</b>,"9 x 10-8",(conditional),NR,'-,"0.182225 unit increase",[0.12-0.25],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:185255752-<b>?</b>,"9 x 10-13",(conditional),NR,'-,"0.0638929 unit decrease",[0.046-0.081],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:185261528-<b>?</b>,"7 x 10-15",(conditional),NR,'-,"0.0622103 unit decrease",[0.047-0.078],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr3:185354394-<b>?</b>,"3 x 10-15",(conditional),NR,'-,"0.111031 unit decrease",[0.084-0.139],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr4:76496817-<b>?</b>,"6 x 10-8",(conditional),NR,'-,"0.029472 unit increase",[0.019-0.04],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr4:77503120-<b>?</b>,"3 x 10-6",(conditional),NR,'-,"0.0231935 unit decrease",[0.013-0.033],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr4:91288559-<b>?</b>,"4 x 10-6",(conditional),NR,'-,"0.0289289 unit increase",[0.017-0.041],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr4:106066820-<b>?</b>,"2 x 10-8",(conditional),NR,'-,"0.0387509 unit increase",[0.025-0.052],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr4:140877659-<b>?</b>,"2 x 10-9",(conditional),NR,'-,"0.0318113 unit decrease",[0.021-0.042],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr5:87682877-<b>?</b>,"2 x 10-7",(conditional),NR,'-,"0.0316018 unit decrease",[0.02-0.043],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr5:138116995-<b>?</b>,"3 x 10-9",(conditional),NR,'-,"0.373119 unit decrease",[0.25-0.5],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr6:19718141-<b>?</b>,"6 x 10-10",(conditional),NR,'-,"0.0607208 unit increase",[0.042-0.08],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr6:19811887-<b>?</b>,"1 x 10-6",(conditional),NR,'-,"0.0726361 unit increase",[0.044-0.102],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr6:41012117-<b>?</b>,"2 x 10-7",(conditional),NR,'-,"0.029607 unit increase",[0.019-0.041],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr6:143098365-<b>?</b>,"1 x 10-8",(conditional),NR,'-,"0.0587401 unit increase",[0.039-0.079],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr6:153427706-<b>?</b>,"1 x 10-11",(conditional),NR,'-,"0.0335063 unit increase",[0.024-0.043],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr7:18604697-<b>?</b>,"5 x 10-6",(conditional),NR,'-,"0.245959 unit increase",[0.14-0.35],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr7:50365413-<b>?</b>,"2 x 10-7",(conditional),NR,'-,"0.0907358 unit decrease",[0.056-0.125],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr7:50659193-<b>?</b>,"1 x 10-6",(conditional),NR,'-,"0.0332083 unit decrease",[0.02-0.047],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr7:51028400-<b>?</b>,"3 x 10-6",(conditional),NR,'-,"0.0642319 unit decrease",[0.037-0.091],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr7:100295908-<b>?</b>,"2 x 10-8",(conditional),NR,'-,"0.0461894 unit increase",[0.03-0.062],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr8:26130329-<b>?</b>,"4 x 10-15",(conditional),NR,'-,"0.0519218 unit increase",[0.039-0.065],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr8:105958279-<b>?</b>,"2 x 10-6",(conditional),NR,'-,"0.351813 unit increase",[0.21-0.5],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
chr9:85316592-<b>?</b>,"4 x 10-13",(conditional),NR,'-,"0.0383682 unit decrease",[0.028-0.049],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
rs538801-<b>T</b>,"5 x 10-8",,0.4302,'-,"0.0211 unit decrease",[0.013-0.029],SUPT3H,"Type 2 diabetes","type II diabetes mellitus",GCST010557,6:44908025
rs12667919-<b>C</b>,"4 x 10-8",,0.7087,'-,"0.0256 unit decrease",[0.016-0.035],CAPZA1P4,"Type 2 diabetes","type II diabetes mellitus",GCST010557,7:131889849
rs12433335-<b>C</b>,"2 x 10-8",,0.568,'-,"0.0213 unit decrease",[0.014-0.029],PRKD1,"Type 2 diabetes","type II diabetes mellitus",GCST010557,14:29617275
rs11994255-<b>C</b>,"2 x 10-8",,0.7191,'-,"0.0239 unit decrease",[0.015-0.032],"ELP3, RPL5P22","Type 2 diabetes","type II diabetes mellitus",GCST010557,8:28238422
rs9958640-<b>G</b>,"2 x 10-8",,0.6007,'-,"0.0236 unit decrease",[0.015-0.032],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010557,18:4845028
rs17747955-<b>C</b>,"2 x 10-8",,0.4496,'-,"0.0224 unit increase",[0.015-0.03],NOL4,"Type 2 diabetes","type II diabetes mellitus",GCST010557,18:34002926
rs1929883-<b>G</b>,"4 x 10-8",,0.601,'-,"0.0275 unit increase",[0.018-0.037],MTND2P8,"Type 2 diabetes","type II diabetes mellitus",GCST010557,9:78729785
rs12116935-<b>G</b>,"2 x 10-8",,0.3536,'-,"0.0242 unit increase",[0.016-0.033],"SH3D21, EVA1B","Type 2 diabetes","type II diabetes mellitus",GCST010557,1:36323945
rs73167517-<b>G</b>,"1 x 10-8",,0.9131,'-,"0.0411 unit decrease",[0.027-0.055],"LINC02144, CHD1","Type 2 diabetes","type II diabetes mellitus",GCST010557,5:87807164
rs114136102-<b>C</b>,"3 x 10-8",,0.0384,'-,"0.0631 unit increase",[0.041-0.085],"LMBRD2, UGT3A2","Type 2 diabetes","type II diabetes mellitus",GCST010557,5:36084324
rs75619936-<b>G</b>,"2 x 10-8",,0.1329,'-,"0.0314 unit increase",[0.02-0.042],RFX3,"Type 2 diabetes","type II diabetes mellitus",GCST010557,9:3249708
rs59020573-<b>G</b>,"1 x 10-8",,0.9075,'-,"0.0503 unit decrease",[0.033-0.068],"KIAA1522, SYNC","Type 2 diabetes","type II diabetes mellitus",GCST010557,1:32730519
rs9358912-<b>G</b>,"2 x 10-8",,0.6514,'-,"0.0249 unit increase",[0.016-0.034],"H2BC8, H4C5","Type 2 diabetes","type II diabetes mellitus",GCST010557,6:26210918
rs10262104-<b>C</b>,"1 x 10-8",,0.4575,'-,"0.022 unit increase",[0.014-0.03],CALCR,"Type 2 diabetes","type II diabetes mellitus",GCST010557,7:93489424
rs2679745-<b>G</b>,"2 x 10-8",,0.8139,'-,"0.0278 unit increase",[0.018-0.037],AZIN1,"Type 2 diabetes","type II diabetes mellitus",GCST010557,8:102864097
rs11830241-<b>C</b>,"1 x 10-8",,0.9008,'-,"0.0411 unit decrease",[0.027-0.055],EP400,"Type 2 diabetes","type II diabetes mellitus",GCST010557,12:132060098
rs510062-<b>G</b>,"1 x 10-8",,0.4036,'-,"0.022 unit decrease",[0.014-0.03],"GDF6, GAPDHP30","Type 2 diabetes","type II diabetes mellitus",GCST010557,8:96126510
rs7538321-<b>T</b>,"2 x 10-8",,0.1952,'-,"0.0287 unit increase",[0.019-0.039],"SLC41A1, PM20D1","Type 2 diabetes","type II diabetes mellitus",GCST010557,1:205820327
rs853866-<b>T</b>,"3 x 10-8",,0.6109,'-,"0.0244 unit increase",[0.016-0.033],"FOXP1, EIF4E3","Type 2 diabetes","type II diabetes mellitus",GCST010557,3:71599717
rs62182438-<b>T</b>,"1 x 10-8",,0.2595,'-,"0.0257 unit increase",[0.017-0.035],"SLC25A12, HAT1","Type 2 diabetes","type II diabetes mellitus",GCST010557,2:171940254
